"review_id","rating","content","author","publication_date","scrape_date"
"b9a7f9f8a9e00230d62a4ba781bd9732","1","Un mauvais avis de plus et visiblement ils sont  collectionneurs.




J'ai procédé à un achat sur l'application leroy merlin. 


Avec comme revendeur outil. Fr


J'ai acheté 2 coffret trepans pour carrelage. 


Au début j'ai hésité à passer commande car le revendeur avait des mauvaises avis.


Je suis tout de même passé à l'acte en pensant que vu qu'ils étaient hébergés par leroy merlin Cela devait être une entreprise sérieuse.


Le jour de la Commande tout se passe bien.


Un ou deux jours plus tard le revendeur le contact pour me dire qu'il y a rupture de stock et qu'il va faire au plus vite pour me fournir.


Je suis livrée en retard et à ma stupeur quand j'ouvre le colis déposer dans ma boîte aux lettres sans que je sois présent.


( À l'intérieur du colis il y a écrit merci d'ouvrir le colis en présence du chauffeur)


Il est vrai que de mettre cela à l'intérieur du colis est très intelligent.


Du coup je râle je demande à ce qu'on m'envoie le bon article on me répond tout d'abord qu'il faut déjà renvoyer les mauvais.


J'ai dit qu'une fois que je recevrai les bon articles je renverrai les mauvais.


Cela traîne et par la suite on m'annonce que je vais être remboursé chose qui a été faite et que je peux garder les articles que je n'ai pas commandé.


Alors que ces articles je n'en ai pas besoin.


Donc je ne suis pas satisfait du tout de la prestation de ce revendeur et également de leroy merlin


N'ayant pris pas le temps de me contacter pour me demander ce que je souhaitais faire .


Tant que je n'aurais pas reçu les articles que j'ai commandés au prix où je les ai commandés je ne serai pas satisfait et je continuerai à faire de la bonne pub à ces 2 enseignes","JEAN NICOLAS","2025-08-27","2025-08-28"
"b4c4e7d6bca997abf89bb448d6d89f0a","1","Leroy merlin ne donne aucun suivi au client


Une fois le produit acheté ils se foutent du client 


Achat chenil chien très mécontente aucune notice à l intérieur m n’use de pièce 


Leroy merlin renvoie vers le revendeur qui lui même revend


Aucun suivi produit très cher et incomplet


Une honte  ! Je ne recommande pas cette enseigne !!!","Syl","2025-08-27","2025-08-28"
"48cf52d16f2bf570bf7d311e389ab6cc","1","Service déplorable. J'ai passé plusieurs commandes sur le site et chaque commande a été un carnage. Produits Non conforme. Délais non respecté. Colis perdus dans la nature. J'ai du aller moi même chez le transporteur chercher mes colis. Produits de mauvaises qualités. Service client incompétent, pas de communication, aucun suivis et aucun geste commercial. Je ne remettrai plus jamais les pieds chez leroy merlin. Au vu du nombre de mauvais commentaires il serait temps de se remettre en question.","Sébastien Arjona","2025-08-27","2025-08-28"
"c89726f25504aa837483a97588093282","1","Commande passée par le site Leroy Merlin, non validée, disparue dans la nature, mais somme débitée sur mon compte. Demande de remboursement effectuée : plus de 15 jours plus tard toujours pas remboursée. Ils sont plus rapides à prendre l'argent qu'à le rendre.... si ils le rendent !!","Louboutin","2025-08-27","2025-08-28"
"7cbd8963634b76d84f9df051ce5ccaec","1","J'ai commandé une porte et payé les frais de port pour livraison, dès le lendemain il est précisé ""commande expédiée"" 10 jours plus tard toujours pas reçu... Le sce client me dit ""ah bon ! on va regarder ça""


Une sne après toujours pas de nouvelles, le sce client me dit "" ah bon ! on va regarder ça"". Et puis ensuite plus d'infos... Hier le sce client Leroy Merlin me fait un mail m'informant qu'ils ne me livreront pas la porte, qu'ils annulent ma commande et qu'ils me rembourseront plus tard !!!!!!


C'est quoi cette enseigne ?


Sur leur site il y a toujours ma porte à vendre en magasin ou en livraison !


Si vous ne voulez pas de problèmes, fuyez ce site.","Galaxie","2025-08-27","2025-08-28"
"ab10dba04c59e54d7993b2027302f542","1","6 paires de volets achetées, 4 ont des lames qui s écartent jusqu à laisser passer le jour, pour une 5 mois après la livraison.


1 prise en garantie, à 5 mois les 3 autres à 6 mois refus de garantie.


sachez qu il faut acheter les volets quelques mois avant la pose, pour qu ils puissent sécher, ne pas les poser par forte chaleur, ne pas mettre trop de lasure puis de microporeuse pour que le bois puisse travailler à sa facon...


Bref il faut s y prendre un an la l avance certainement, 


De toute façon, et cela n engage que moi, LEROY MERLIN voit  la qualité des ses fournisseurs (donc la qualité de ses produits) baisser. Vous allez me dire que rien ne m oblige à continuer d aller me servir chez eux ...et là vous avez raison.!","didier leconte","2025-08-26","2025-08-28"
"f43a11b5682c7aaf615ef82ecca58a00","4","Entreprise sérieuse avec du personnel qualifié et compétent. Un seul bémol, l’attente quelques fois pour avoir un vendeur dans le domaine que l’on recherche. Il y aussi l’attente devant les caisses alors qu’ils y en a de vacantes. Dans l’ensemble un bonne note pour cette enseigne. Zhamis","Claudine et Denis","2025-08-26","2025-08-28"
"7c3693e115ecbcb1f5d79f19fa490f1c","1","Ne commandait rien sur leur site Internet, j’ai envoyé 2  mail pour annuler une commande car l’adresse n’était plus valable, ils  me l’ont quand même expédié.","Ben","2025-08-25","2025-08-28"
"63bba5275696e490e43982ff69995e34","1","Achat d’un Chauffe-eau thermodynamique


Attention : Zéro garantie sur ce type de produit si installé par vous-même. J'en réfère à mon expérience. Je remarque un problème de dysfonctionnement sur le déclenchement du chauffe-eau. Leroy Merlin ne veut rien savoir car le produit est vendu et facturé par un tiers. Le vendeur Sun Chauffage joignable uniquement par mail me renvoie vers le fabricant Ariston qui en préalable me demande tout un lot de justifications photographiques pour constater que l'installation est bien conforme. Ce qui ne l'empêche pas de me répondre que le SAV ne pourra intervenir car le problème rencontré relève des compétences de l'installateur ! Sachant que l'installateur n'existe pas. Donc prudence car tout semble bien orchestré pour ne pas honorer la garantie.


Quant à Leroy Merlin il rejette mon avis au motif qu’il concerne le service client. La boucle est bouclée","Gérard-Brigitte Les Valades","2025-08-25","2025-08-28"
"311bfbd3e9a724ae662088e2002912c1","5","Constantin a été à la fois professionnel et humain, bravo. 




De manière générale, vos employés sont très bons.","Thomas","2025-08-24","2025-08-28"
